algorithm: jDE; function: TB_1; dimensions: 10; runtimes: 30; minimum: 100.0; maximum: 100.0; mean: 100.0; median: 100.0; stdev: 0.0; values: [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]
algorithm: jDE; function: TB_2; dimensions: 10; runtimes: 30; minimum: 1100.1249088820769; maximum: 1171.9193363002414; mean: 1114.3675309927823; median: 1111.1581983572783; stdev: 13.646953854737216; values: [1115.182031425913, 1171.9193363002414, 1100.1249088820769, 1106.892375816422, 1103.7194046009527, 1106.892375816422, 1125.8358482626154, 1117.0045207054873, 1107.1968197296828, 1118.8389815858263, 1121.762135037141, 1107.1152399330758, 1115.1195769848737, 1106.892375816422, 1107.1343652886435, 1103.5398695697686, 1121.9494983602563, 1118.5969921136038, 1118.472083231527, 1103.7272328928848, 1103.4774151287302, 1107.1968197296828, 1103.6647784518455, 1118.5969921136038, 1115.2444858669505, 1107.071910847605, 1133.5292057753622, 1118.5345376725654, 1103.781859041991, 1122.0119528012956]
algorithm: jDE; function: TB_3; dimensions: 10; runtimes: 30; minimum: 710.461339644201; maximum: 713.3943954715409; mean: 711.5561067677133; median: 711.4397385468883; stdev: 0.6890388362777281; values: [710.5303070149865, 712.812078844072, 711.4225769958891, 712.3206692799756, 711.1787431490299, 711.4583705985799, 713.3943954715409, 711.8914459125416, 710.461339644201, 712.4014772902447, 711.6426529818656, 711.3558108703904, 711.185667419023, 711.4569000978875, 711.664483506204, 711.5536582918759, 712.6700383440678, 711.2164241422757, 711.3228562661762, 711.8394430574943, 710.8202960083707, 712.3071660918164, 711.7499006557375, 711.7794977549786, 711.282472113552, 711.0075899561223, 711.3130815695218, 710.652029156241, 710.672369844849, 711.3194607018878]
algorithm: jDE; function: TB_4; dimensions: 10; runtimes: 30; minimum: 1900.230547441205; maximum: 1900.9147893787756; mean: 1900.4949865595413; median: 1900.5100243919105; stdev: 0.15085011967367898; values: [1900.5432501732478, 1900.6075240871917, 1900.549336707631, 1900.5093762074318, 1900.559733886858, 1900.2909428584999, 1900.3263998010739, 1900.6258696758864, 1900.5268419898262, 1900.5961448030023, 1900.4092976972065, 1900.6550679505176, 1900.4518622560572, 1900.3109580282103, 1900.6797484128035, 1900.4736548020712, 1900.5388936035577, 1900.230547441205, 1900.4845606053025, 1900.572313515329, 1900.3199641010235, 1900.9147893787756, 1900.269080636527, 1900.510672576389, 1900.709727863339, 1900.4325912842373, 1900.3231990621034, 1900.3829411989302, 1900.4664286592229, 1900.5778775227843]
algorithm: jDE; function: TB_5; dimensions: 10; runtimes: 30; minimum: 1700.0; maximum: 1783.2975203006101; mean: 1706.8874592562238; median: 1700.416285969291; stdev: 17.22719998649639; values: [1700.416285969291, 1700.2081429846455, 1733.5188652525237, 1700.416285969291, 1701.4112450263842, 1701.4112450263844, 1700.2081429846455, 1700.2081429846455, 1700.416285969291, 1700.2081429846455, 1783.2975203006101, 1700.2081429846455, 1711.38109806882, 1701.4112450263842, 1701.2031020417387, 1700.2081429846455, 1711.1729550841744, 1700.2081429846455, 1712.5842001105586, 1701.4112450263842, 1700.416285969291, 1700.0, 1700.416285969291, 1701.4112450263844, 1700.0, 1700.416285969291, 1701.2031020417387, 1739.2163189660414, 1700.416285969291, 1701.6193880110297]
algorithm: jDE; function: TB_6; dimensions: 10; runtimes: 30; minimum: 1600.0194949289983; maximum: 1734.9001448785812; mean: 1614.707295317427; median: 1600.4476738844446; stdev: 37.703039711068115; values: [1611.6262296954046, 1600.0364411718226, 1600.7212524311071, 1612.1914219984253, 1600.2583957823435, 1600.2314252117706, 1600.1192641452092, 1600.4908301354287, 1600.4938251154017, 1600.2879525632775, 1719.9198515736693, 1734.9001448785812, 1611.655994981595, 1600.1101257803675, 1611.5152247838894, 1600.4694103847464, 1600.0194949289983, 1600.2899651942503, 1611.2505344466265, 1600.2387003630608, 1600.4448508478024, 1600.4374576832868, 1600.4504969210868, 1600.2289481251237, 1601.226810566601, 1600.483767740756, 1600.2338111528156, 1720.2133534739125, 1600.2288974425412, 1600.443980002907]
algorithm: jDE; function: TB_7; dimensions: 10; runtimes: 30; minimum: 2100.0000432799643; maximum: 2100.89571627084; mean: 2100.202584632431; median: 2100.06897542792; stdev: 0.2509521706021987; values: [2100.0007945083785, 2100.0000432799643, 2100.0152700706208, 2100.000177373883, 2100.000241344333, 2100.1226807852195, 2100.3174687865285, 2100.000263799344, 2100.6247474702373, 2100.659721773258, 2100.0049895614898, 2100.518623778623, 2100.0070278889884, 2100.203276030295, 2100.3133271814154, 2100.3092704772657, 2100.007853931308, 2100.0066961633615, 2100.2773900815487, 2100.0007583031293, 2100.6243484588563, 2100.3161590684895, 2100.0107038855595, 2100.321345350368, 2100.000443934196, 2100.2027213740707, 2100.002009348563, 2100.0001921627786, 2100.313276530019, 2100.89571627084]
algorithm: jDE; function: TB_8; dimensions: 10; runtimes: 30; minimum: 2200.0; maximum: 2300.4535549611246; mean: 2293.764564647636; median: 2300.0; stdev: 23.964890678115186; values: [2300.0, 2300.0, 2300.0, 2300.0, 2211.5630573526446, 2300.0, 2300.0, 2300.287844979069, 2300.4535549611246, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.0, 2300.2863768830416, 2300.0, 2200.0, 2300.3461052531907, 2300.0, 2300.0]
algorithm: jDE; function: TB_9; dimensions: 10; runtimes: 30; minimum: 2500.0; maximum: 2746.4728246705877; mean: 2728.4509974301836; median: 2735.7453853737225; stdev: 43.23835808399357; values: [2737.128690870557, 2733.1357505434266, 2731.6058826011185, 2737.3811347419355, 2737.0336457047306, 2735.645558186312, 2733.1007238360676, 2733.9300358156747, 2734.629257763538, 2735.896011541038, 2739.0918756291326, 2735.7814896819314, 2739.8601569318084, 2738.5283303636684, 2738.249396632548, 2741.025490857589, 2736.802679846481, 2500.0, 2733.7732250158183, 2735.709281065514, 2736.7338766818, 2746.4728246705877, 2735.011607631548, 2734.759279387897, 2735.6624689770156, 2736.193319247124, 2734.2716552957095, 2735.8254063592867, 2735.1451707670008, 2735.145696258646]
algorithm: jDE; function: TB_10; dimensions: 10; runtimes: 30; minimum: 2897.7428694699875; maximum: 2945.8519810957887; mean: 2919.7299069461064; median: 2898.934025662367; stdev: 23.515824314778868; values: [2943.3722413112387, 2945.817098535249, 2943.399992590086, 2945.827611694391, 2943.3645264780916, 2898.057892952377, 2898.032923675199, 2943.4013380658866, 2898.047465418808, 2898.2219361797347, 2898.0785348571612, 2943.429593094897, 2898.0089894405774, 2898.130094699415, 2898.0682147062903, 2943.3470283042393, 2897.7428694699875, 2897.7428694699875, 2898.283083453055, 2899.5849678716786, 2945.8519810957887, 2945.815527356472, 2897.7428694699875, 2945.8060188785303, 2898.1302633241357, 2898.0089894405774, 2945.827611694391, 2943.3722413112387, 2943.37344410314, 2898.0089894405774]
algorithm: T3A-SOMA; function: TB_1; dimensions: 10; runtimes: 30; minimum: 100.0; maximum: 100.0; mean: 100.0; median: 100.0; stdev: 0.0; values: [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]
algorithm: T3A-SOMA; function: TB_2; dimensions: 10; runtimes: 30; minimum: 1103.5398695697686; maximum: 1148.697467028992; mean: 1119.253591113297; median: 1115.2132586464322; stdev: 12.976651816051545; values: [1130.6609342053198, 1115.2444858669514, 1107.0172846984997, 1115.1195769848746, 1106.8299213753835, 1118.784355436721, 1110.2448820630743, 1110.3073365041137, 1106.892375816422, 1130.1766995287098, 1107.079739139538, 1118.6594465546432, 1103.5398695697686, 1121.9494983602572, 1113.659842750766, 1103.9067679240688, 1131.7613426623893, 1130.1142450876714, 1148.4614194371206, 1127.6416115651864, 1112.0168885023759, 1115.182031425913, 1123.5965959174819, 1147.0099718902793, 1148.697467028992, 1111.891979620299, 1106.9548302574603, 1110.3073365041137, 1115.2444858669514, 1128.6545108535638]
